nb_chambres;nb_salon;taille_maison;commune;quartier;prix
1;0;5;Selembao;Badiading;40
1;1;8;Selembao;Badiading;70
2;1;12;Selembao;Badiading;110
2;1;10;Selembao;Badiading;120
3;1;17;Selembao;Badiading;200
3;1;15;Selembao;Badiading;210
4;1;16;Selembao;Badiading;250
1;0;4;Selembao;Badiading;50
1;0;5;Selembao;Badiading;60
2;1;13;Selembao;Badiading;280
3;1;20;Selembao;Badiading;300
1;0;5;Selembao;Badiading;40
1;1;8;Selembao;Badiading;60
2;1;13;Selembao;Badiading;100
2;1;10;Selembao;Badiading;100
3;1;15;Selembao;Badiading;270
1;0;25;Selembao;Badiading;50
1;0;40;Selembao;Badiading;90
1;1;10;Selembao;Badiading;130
4;1;18;Selembao;Badiading;380
2;1;12;Selembao;Badiading;120
2;1;10;Selembao;Badiading;110
3;1;18;Selembao;Badiading;300
4;1;20;Selembao;Badiading;400
3;1;15;Selembao;Badiading;370
1;0;5;Selembao;Badiading;40
2;1;14;Selembao;Badiading;200
3;1;10;Selembao;Badiading;260
1;1;8;Selembao;Badiading;80
1;0;4;Selembao;Badiading;50
1;0;5;Selembao;Badiading;40
2;1;8;Selembao;Badiading;260
3;1;16;Selembao;Badiading;300
4;1;20;Selembao;Badiading;400
1;1;10;Selembao;Badiading;140
2;1;10;Selembao;Badiading;110
1;0;5;Selembao;Badiading;50
3;1;15;Selembao;Badiading;350
2;1;12;Selembao;Badiading;110
3;1;15;Selembao;Badiading;330
4;1;18;Selembao;Badiading;400
2;1;12;Selembao;Badiading;200
